topic,content,publisher_id,timestamp,latency
airquality,smog,pub3,2023-02-12T13:25:04,47.41893792152405
sound,65,pub3,2023-02-12T13:25:04,48.42517399787903
location,Asia,pub3,2023-02-12T13:25:04,49.57587790489197
airquality,smog,pub3,2023-02-12T13:25:04,50.58177304267883
sound,42,pub3,2023-02-12T13:25:04,51.72787809371948
location,America,pub3,2023-02-12T13:25:04,52.73897194862366
airquality,poor,pub3,2023-02-12T13:25:04,53.74101710319519
sound,34,pub3,2023-02-12T13:25:04,54.745934009552
location,Asia,pub3,2023-02-12T13:25:04,56.157310009002686
airquality,poor,pub3,2023-02-12T13:25:04,57.172133922576904
sound,71,pub3,2023-02-12T13:25:04,58.2437789440155
location,Africa,pub3,2023-02-12T13:25:04,59.24850797653198
airquality,poor,pub3,2023-02-12T13:25:04,60.59821009635925
sound,61,pub3,2023-02-12T13:25:04,61.607425928115845
location,Europe,pub3,2023-02-12T13:25:04,62.61166501045227
airquality,good,pub3,2023-02-12T13:25:04,63.61514711380005
sound,80,pub3,2023-02-12T13:25:04,64.61806988716125
location,Africa,pub3,2023-02-12T13:25:04,65.62088894844055
airquality,good,pub3,2023-02-12T13:25:04,66.62343001365662
sound,38,pub3,2023-02-12T13:25:04,67.62589406967163
location,Africa,pub3,2023-02-12T13:25:04,68.62892198562622
airquality,good,pub3,2023-02-12T13:25:04,69.63140606880188
sound,79,pub3,2023-02-12T13:25:04,70.63840293884277
location,Asia,pub3,2023-02-12T13:25:04,71.67996311187744
airquality,good,pub3,2023-02-12T13:25:04,72.7324149608612
sound,66,pub3,2023-02-12T13:25:04,73.74304509162903
location,America,pub3,2023-02-12T13:25:04,74.74650597572327
airquality,smog,pub3,2023-02-12T13:25:04,75.75330400466919
sound,40,pub3,2023-02-12T13:25:04,76.85833311080933
location,America,pub3,2023-02-12T13:25:04,77.865238904953
airquality,smog,pub3,2023-02-12T13:25:04,78.87857794761658
sound,56,pub3,2023-02-12T13:25:04,79.89346194267273
location,Australia,pub3,2023-02-12T13:25:04,81.0245189666748
airquality,good,pub3,2023-02-12T13:25:04,82.03597211837769
sound,93,pub3,2023-02-12T13:25:04,83.1808819770813
location,Africa,pub3,2023-02-12T13:25:04,85.5502450466156
airquality,smog,pub3,2023-02-12T13:25:04,86.68073391914368
sound,84,pub3,2023-02-12T13:25:04,87.85923290252686
location,Australia,pub3,2023-02-12T13:25:04,89.02629709243774
airquality,good,pub3,2023-02-12T13:25:04,90.09605693817139
sound,84,pub3,2023-02-12T13:25:04,91.35469508171082
location,America,pub3,2023-02-12T13:25:04,92.36908006668091
airquality,poor,pub3,2023-02-12T13:25:04,93.50275492668152
sound,49,pub3,2023-02-12T13:25:04,94.74301791191101
location,America,pub3,2023-02-12T13:25:04,95.74399900436401
airquality,good,pub3,2023-02-12T13:25:04,96.87865710258484
sound,72,pub3,2023-02-12T13:25:04,97.8821280002594
location,Africa,pub3,2023-02-12T13:25:04,99.2696681022644
airquality,poor,pub3,2023-02-12T13:27:12,-27.652479887008667
sound,84,pub3,2023-02-12T13:27:12,-26.599252939224243
location,America,pub3,2023-02-12T13:27:12,-25.42394995689392
humidity,26.651504238041543,pub2,2023-02-12T13:25:04,103.64212703704834
airquality,smog,pub8,2023-02-12T13:25:04,104.75109791755676
sound,59,pub5,2023-02-12T13:25:04,105.75285601615906
humidity,42.70446813810463,pub4,2023-02-12T13:25:04,106.96731805801392
airquality,good,pub6,2023-02-12T13:25:04,107.97873091697693
airquality,smog,pub7,2023-02-12T13:25:04,109.26453709602356
airquality,good,pub1,2023-02-12T13:25:04,110.26914310455322
airquality,good,pub3,2023-02-12T13:27:12,-16.729687929153442
airquality,smog,pub2,2023-02-12T13:25:04,112.27115988731384
